Specific Component;Variable;Instance;Required?;DataType;Unit;Description
SmartChargingCtrlr;Enabled;;no;boolean;;Whether smart charging is enabled.
SmartChargingCtrlr;Entries;ChargingProfiles;yes;integer;;Entries(ChargingProfiles) is the amount of Charging profiles currently installed on the Charging Station
SmartChargingCtrlr;ExternalControlSignalsEnabled;;no;boolean;;Indicates whether a Charging Station should respond to external control signals that influence charging.
SmartChargingCtrlr;LimitChangeSignificance;;yes;decimal;Percent;If at the Charging Station side a change in the limit in a ChargingProfile is lower than this percentage, the Charging Station MAY skip sending a NotifyChargingLimitRequest or a TransactionEventRequest message to the CSMS.
SmartChargingCtrlr;NotifyChargingLimitWithSchedules;;no;boolean;;Indicates if the Charging Station should include the externally set charging limit/schedule in the message when it sends a NotifyChargingLimitRequest message.
SmartChargingCtrlr;PeriodsPerSchedule;;yes;integer;;Maximum number of periods that may be defined per ChargingSchedule.
SmartChargingCtrlr;Phases3to1;;no;boolean;;If defined and true, this Charging Station supports switching from 3 to 1 phase during a transaction
SmartChargingCtrlr;ProfileStackLevel;;yes;integer;;Maximum acceptable value for stackLevel in a ChargingProfile. Since the lowest stackLevel is 0, this means that if SmartChargingCtrlr.ProfileStackLevel = 1, there can be at most 2 valid charging profiles per Charging Profile Purpose per EVSE.
SmartChargingCtrlr;RateUnit;;yes;MemberList;;A list of supported quantities for use in a ChargingSchedule. Allowed values: 'A' and 'W
SmartChargingCtrlr;ExternalConstraintsProfileDisallowed;;no;boolean;;Indicates whether a Charging Station allows an external system to submit limits to be represented as a `ChargingStationExternalConstraints` charging profile.
SmartChargingCtrlr;ChargingProfilePersistence;TxProfile;no;boolean;;If an instance of this variable is true, then charging profiles with the chargingProfilePurpose mentioned in the variableInstance are persistent, i.e. they are stored persistently and will still exist after a reboot.
SmartChargingCtrlr;ChargingProfilePersistence;LocalGeneration;no;boolean;;If an instance of this variable is true, then charging profiles with the chargingProfilePurpose mentioned in the variableInstance are persistent, i.e. they are stored persistently and will still exist after a reboot.
SmartChargingCtrlr;ChargingProfilePersistence;ChargingStationExternalConstraints;no;boolean;;If an instance of this variable is true, then charging profiles with the chargingProfilePurpose mentioned in the variableInstance are persistent, i.e. they are stored persistently and will still exist after a reboot.
SmartChargingCtrlr;SetpointPriority;;no;OptionList;;"Defines which setpoint shall be used when a `ChargingStationExternalConstraints` profile
with a operationMode = `ExternalSetpoint` is active, but at the same time a `Tx(Default)Profile`
charging profile is also active with a setpoint."
SmartChargingCtrlr;MaxExternalConstraintsId;;no;integer;;Defines the highest value that a charging profile id of a `ChargingStationExternalConstraints` profile in the Charging Station can have.
SmartChargingCtrlr;SupportedAdditionalPurposes;;no;MemberList;;This configuration variable lists the additional chargingProfilePurposes, that have been introduced in OCPP 2.1, that are supported by the Charging Station.
SmartChargingCtrlr;SupportsDynamicProfiles;;no;boolean;;When this variable has value True, then the Charging Station supports charging profiles of kind `Dynamic`.
SmartChargingCtrlr;SupportsMaxOfflineDuration;;no;boolean;;When this variable has value True, then the Charging Station supports the fields maxOfflineDuration and invalidAfterOfflineDuration in a charging profile.
SmartChargingCtrlr;SupportsUseLocalTime;;no;boolean;;When this variable has value True, then the Charging Station supports the field useLocalTime in a charging schedule. 
SmartChargingCtrlr;SupportsRandomizedDelay;;no;boolean;;When this variable has value True, then the Charging Station supports the field randomizedDelay_in a charging schedule, which will delay the start of each charging schedule period by a random number between 0 and randomizedDelay.
SmartChargingCtrlr;SupportsLimitAtSoC;;no;boolean;;When this variable has value True, then the Charging Station supports the field limitAtSoC in a charging schedule, which will cap the limit or setpoint in the ChargingSchedulePeriodType by the value of _imitAtSoC.limit.
SmartChargingCtrlr;SupportsEvseSleep;;no;boolean;;When reported as true the Charging Station supports the evseSleep flag in a charging schedule period, which requests the EVSE electronics to go to sleep during operationMode = 'Idle'.
TariffCostCtrlr;Available;Tariff;no;boolean;;If true then the Charging Station supports the TariffType structure,
TariffCostCtrlr;Available;Cost;no;boolean;;If true, then Charging Station supports local cost calculation.
TariffCostCtrlr;Currency;;yes;string;;Currency used by this Charging Station in a ISO 4217 [ISO4217] formatted currency code.
TariffCostCtrlr;Enabled;Tariff;no;boolean;;If true then the Charging Station has enabled support for the TariffType structure, that describes the tariff in a machine-readable format.
TariffCostCtrlr;Enabled;Cost;no;boolean;;If true, then local cost calculation is enabled on Charging Station.
TariffCostCtrlr;Enabled;RunningCost;no;boolean;;If true then Charging Station will provide periodic running cost updates in costDetails in TransactionEventRequest messages.
TariffCostCtrlr;TariffFallbackMessage;<language>;yes;string;;Message (and/or tariff information) to be shown to an EV Driver when there is no driver specific tariff information available.
TariffCostCtrlr;TotalCostFallbackMessage;<language>;yes;string;;Message to be shown to an EV Driver when the Charging Station cannot retrieve the cost for a transaction at the end of the transaction.
TariffCostCtrlr;OfflineTariffFallbackMessage;<language>;no;string;;Message (and/or tariff information) to be shown to an EV Driver when Charging Station is offline.
TariffCostCtrlr;Interval;Tariff;no;integer;s;Interval specifies the maximum interval in seconds to use when evaluating the conditions regarding current, power and energy of a tariff element during a transaction. 
TariffCostCtrlr;Interval;Cost;no;integer;s;Specifies the interval in seconds to use to provide periodic running cost updates during a transaction.
TariffCostCtrlr;MaxElements;Tariff;no;integer;;Specifies the maximum number of prices elements that the Charging Station supports in each energy, chargingTime, idleTime and fixedFee field of a TariffType.
TariffCostCtrlr;ConditionsSupported;Tariff;no;boolean;;If set to true the Charging Station supports tariffs with conditions.
TariffCostCtrlr;HandleFailedTariff;Tariff;no;OptionList;;This configuration determines how to act when a driver-specific tariff is received, which cannot be processed.
TokenReader;Token;;no;string;;String of bytes representing an ID token.
TokenReader;TokenType;;no;OptionList;;Type of Token. Value is one of IdTokenEnumType.
TxCtrlr;ChargingTime;;no;decimal;s;Time from earliest to latest substantive energy transfer
TxCtrlr;EVConnectionTimeOut;;yes;integer;s;"Interval from between ""starting"" of a transaction until incipient transaction is automatically canceled, due to failure of EV driver to (correctly) insert the charging cable connector(s) into the appropriate socket(s). "
TxCtrlr;MaxEnergyOnInvalidId;;no;integer;;Maximum amount of energy in Wh delivered when an identifier is deauthorized by the CSMS after start of a transaction.
TxCtrlr;StopTxOnEVSideDisconnect;;yes;boolean;;When set to true, the Charging Station SHALL deauthorize the transaction when the cable is unplugged from the EV.
TxCtrlr;StopTxOnInvalidId;;yes;boolean;;Whether the Charging Station will deauthorize an ongoing transaction when it receives a non- Accepted authorization status in TransactionEventResponse for this transaction.
TxCtrlr;TxBeforeAcceptedEnabled;;no;boolean;;Allow charging before having received a BootNotificationResponse with RegistrationStatus: Accepted.
TxCtrlr;TxStartPoint;;yes;MemberList;;Defines when the Charging Station starts a new transaction
TxCtrlr;TxStopPoint;;yes;MemberList;;Defines when the Charging Station ends a transaction
TxCtrlr;ResumptionTimeout;;no;integer;s;This variable defines the maximum number of seconds that a transaction may be interrupted by a power outage and still be resumed afterwards.
TxCtrlr;AllowEnergyTransferResumption;;no;boolean;;This variable defines whether energy transfer is allowed to be resumed when the transaction is resumed after a reset or power outage.
TxCtrlr;SupportedLimits;;no;MemberList;;This variable defines which transaction limits in TransactionLimitType are supported by the Charging Station.
V2XChargingCtrlr;Enabled;;yes;boolean;;Way for the CSMS to either activate or deactivate V2X functionality on a Charging Station.
V2XChargingCtrlr;SupportedEnergyTransferModes;;yes;MemberList;;Lists the energy transfer services that are supported by the Charging Station.
V2XChargingCtrlr;SupportedOperationModes;;yes;MemberList;;Lists the operation modes that are supported by the Charging Station.
V2XChargingCtrlr;LocalFrequencyUpdateThreshold;;no;boolean;;The amount of change in net frequency in *mHz* is needed to trigger a recalculation of the setpoint.
V2XChargingCtrlr;TxStartedMeasurands;<OperationMode>;no;MemberList;;List of sampled measurands to send in addition to those configured in SampledDataCtrlr.TxStartedMeasurands, when the Charging Station is in V2X operation mode <OperationMode>
V2XChargingCtrlr;TxEndedMeasurands;<OperationMode>;no;MemberList;;List of sampled measurands to send in addition to SampledDataCtrlr.TxEndedMeasurands, when the Charging Station is in V2X operaion mode <OperationMode>.
V2XChargingCtrlr;TxUpdatedMeasurands;<OperationMode>;no;MemberList;;List of sampled measurands to send in addition to SampledDataCtrlr.TxUpdatedMeasurands, when the Charging Station is in V2X operation mode <OperationMode>.
V2XChargingCtrlr;TxEndedInterval;<OperationMode>;no;integer;s;The interval used to sample the list of measurands in V2XChargingCtrlr.TxEndedMeasurands, while the Charging Station is in V2X operation mode <OperationMode>.
V2XChargingCtrlr;TxUpdatedInterval;<OperationMode>;no;integer;s;The interval used to sample the list of measurands in V2XChargingCtrlr.TxUpdatedMeasurands, while the Charging Station is in V2X operation mode <OperationMode>.
V2XChargingCtrlr;LocalLoadBalancing;UpperThreshold;no;decimal;W;When power (in Watts) exceeds this limit, the local load balancing mechanism will try to imit the power to a maximum of UpperThreshold + UpperOffset.
V2XChargingCtrlr;LocalLoadBalancing;LowerThreshold;no;decimal;W;When power (in Watts) drops below this limit, the local load balancing mechanism will try to keep the power to a minimum of LowerThreshold + LowerOffset.
V2XChargingCtrlr;LocalLoadBalancing;UpperOffset;no;decimal;W;An offset value (in Watts) to add to the UpperThreshold. This allows for some tuning of the upper limit without changing the threshold value.
V2XChargingCtrlr;LocalLoadBalancing;LowerOffset;no;decimal;W;An offset value (in Watts) to add to the LowerThreshold. This allows for some tuning of the lower limit without changing the threshold value.
FrequencySimulator;Enabled;;no;boolean;;This variable must be set to true in order to activate the FrequencySimulator and gather data with the DataCollector.
FrequencySimulator;DateTime;Start;no;DateTime;;"If _Enabled_ the FrequencySimulator will simulate a net frequency as long as time >= DateTime[""Start""] and time < DateTime[""End""]."
FrequencySimulator;DateTime;End;no;DateTime;;"If _Enabled_ the FrequencySimulator will simulate a net frequency as long as time >= DateTime[""Start""] and time < DateTime[""End""]."
FrequencySimulator;FrequencySchedule;;no;string;;A JSON-formatted string with an array of { time, freq } pairs.
DataCollector;Enabled;;no;boolean;;This variable must be set to True in order to activate the DataCollector.
DataCollector;DateTime;Start;no;DateTime;;"If _Enabled_ the DataCollector will sample measurandes from SampledMeasurands as long as time >= DateTime[""Start""] and time < DateTime[""End""]."
DataCollector;DateTime;End;no;DateTime;;"If _Enabled_ the DataCollector will sample measurandes from SampledMeasurands as long as time >= DateTime[""Start""] and time < DateTime[""End""]."
DataCollector;SamplingInterval;;no;decimal;s;The sampling interval in seconds.
DataCollector;SampledMeasurands;;no;MemberList;;The set of measurands to be sampled by the DataCollector.
DCDERCtrlr;Enabled;;no;boolean;;Whether DC DER control is enabled and DER capabilities are reported in this component.
DCDERCtrlr;MaxW;;yes;decimal;W;Active power rating in watts at unity power factor
DCDERCtrlr;OverExcitedW;;yes;decimal;W;Active power rating in watts at specified over-excited power factor
DCDERCtrlr;OverExcitedPF;;yes;decimal;;Over-excited power factor
DCDERCtrlr;UnderExcitedW;;yes;decimal;W;Active power rating in watts at specified under-excited power factor
DCDERCtrlr;UnderExcitedPF;;yes;decimal;;Under-excited power factor
DCDERCtrlr;MaxVA;;yes;decimal;VA;Maximum apparent power rating in voltamperes
DCDERCtrlr;MaxVar;;yes;decimal;Var;Maximum injected reactive power rating in vars
DCDERCtrlr;MaxVarNeg;;yes;decimal;Var;Maximum absorbed reactive power rating in vars
DCDERCtrlr;MaxChargeRateW;;yes;decimal;W;Maximum active power charge rating in watts
DCDERCtrlr;MaxChargeRateVA;;yes;decimal;VA;"Maximum apparent power charge rating in voltamperes; may differ from the apparent power maximum rating"
DCDERCtrlr;VNom;;no;decimal;V;Nominal ac voltage rating in rms volts
DCDERCtrlr;MaxV;;no;decimal;V;Maximum ac voltage rating in rms volts
DCDERCtrlr;MinV;;no;decimal;V;Minimum ac voltage rating in rms volts
DCDERCtrlr;ModesSupported;;yes;MemberList;;Indication of support for each control mode function
DCDERCtrlr;InverterManufacturer;;yes;string;;Manufacturer of inverter
DCDERCtrlr;InverterModel;;yes;string;;Model of inverter
DCDERCtrlr;InverterSerialNumber;;no;string;;Serial number of inverter
DCDERCtrlr;InverterSwVersion;;yes;string;;Software version of inverter
DCDERCtrlr;InverterHwVersion;;yes;string;;Hardware version of inverter
DCDERCtrlr;IslandingDetectionMethod;;no;OptionList;;Type of IslandingDetectionMethod
DCDERCtrlr;IslandingDetectionTripTime;;no;decimal;s;Time until tripping after island detection
DCDERCtrlr;ReactiveSusceptance;;yes;decimal;s;Reactive susceptance that remains connected to the electrical power system in the cease to energize and trip state
ACDERCtrlr;ModesSupported;;yes;MemberList;;Indication of support for each control mode function
BatterySwapCtrlr;TargetSoC;;no;integer;%;The state of charge that a battery must have in order to be eligible for swapping. 
BatterySwapCtrlr;MaxSoc;;no;integer;%;The maximum state of charge that a battery will be charged to.
BatterySwapCtrlr;IdToken;;no;string;;The idToken that is used for charging transactions of swap batteries. 
BatterySwapCtrlr;Timeout;In;no;integer;s;imeout in seconds in which a set of batteries must be inserted after successful authorization.
BatterySwapCtrlr;Timeout;Out;no;integer;s;Timeout in seconds in which the set of batteries that is offered by Charging Station to take out in exchange for the inserted set of batteries must be removed.
BatteryCartridge;SoC;;no;integer;%;The component BatteryCartridge refers to the battery that is inserted at the EVSE. The variable SoC represents current state of charge as a percentage from 0..100.
BatteryCartridge;SoH;;no;integer;%;The component BatteryCartridge refers to the battery that is inserted at the EVSE. The variable SoH represents current state of health as a value from 0..100.
BatteryCartridge;WorkingMode;;no;OptionList;;This variable represents the current working mode of the battery.
NetworkConfiguration;OcppCsmsUrl;;yes;string;;URL of the CSMS (without the Charging Station Identity)
NetworkConfiguration;OcppInterface;;yes;OptionList;;OptionList of values of OcppInterfaceEnumType.
NetworkConfiguration;OcppTransport;;yes;OptionList;;"OptionList of values of OCPPTransportEnumType. Is always ""JSON""."
NetworkConfiguration;OcppVersion;;yes;OptionList;;OptionList of values of OcppVersionEnumType. This field is ignored.
NetworkConfiguration;MessageTimeout;;yes;integer;;Duration in seconds before a message send by the Charging Station via this network connection times out.
NetworkConfiguration;SecurityProfile;;yes;integer;;Security profile level.
NetworkConfiguration;Identity;;no;string;;Required if SecurityCtrlr/Identity is ReadWrite
NetworkConfiguration;BasicAuthPassword;;yes;string;;Writing to this variable only sets the password for the ìinstanceî configurationSlot of Component NetworkConfiguration.
NetworkConfiguration;CsmsRootCertificateHashAlgorithm;;no;string;;References a specific CSMS Root Certificate which has to be contained in the chain.
NetworkConfiguration;CsmsRootCertificateIssuerKeyHash;;no;string;;References a specific CSMS Root Certificate which has to be contained in the chain.
NetworkConfiguration;CsmsRootCertificateIssuerNameHash;;no;string;;References a specific CSMS Root Certificate which has to be contained in the chain.
NetworkConfiguration;CsmsRootCertificateSerialNumber;;no;string;;References a specific CSMS Root Certificate which has to be contained in the chain.
NetworkConfiguration;VpnEnabled;;yes;boolean;;True: VPN is configured.
NetworkConfiguration;VpnType;;no;string;;Value from VPNEnumType
NetworkConfiguration;VpnServer;;no;string;;VPN server address
NetworkConfiguration;VpnUser;;no;string;;VPN user name
NetworkConfiguration;VpnGroup;;no;string;;VPN group name
NetworkConfiguration;VpnPassword;;no;string;;VPN password
NetworkConfiguration;VpnKey;;no;string;;VPN shared secret
NetworkConfiguration;ApnEnabled;;yes;boolean;;True: APN is configured.
NetworkConfiguration;Apn;;no;string;;Access Point Name as URL
NetworkConfiguration;ApnUserName;;no;string;;APN user name
NetworkConfiguration;ApnPassword;;no;string;;APN password
NetworkConfiguration;SimPin;;no;string;;SIM card PIN code
NetworkConfiguration;PreferredNetwork;;no;string;;Preferred network as concatenation of MCC and MNC
NetworkConfiguration;UseOnlyPreferredNetwork;;no;boolean;;When true use only the preferred network
NetworkConfiguration;ApnAuthentication;;no;string;;Value from APNAuthenticationEnumType
PaymentCtrlr;Enabled;;yes;boolean;;Payment terminal support is enabled.
PaymentCtrlr;Problem;;yes;boolean;;There's a problem with the payment terminal.
PaymentCtrlr;AuthorizeDirectPayment;;yes;boolean;;If true, an AuthorizeRequest must be sent to CSMS to approve the direct payment.
PaymentCtrlr;AuthorizationAmount;;yes;decimal;;Amount used for the pre-authorization.
PaymentCtrlr;IncrementalAuthorizationAmount;;no;decimal;;If value is 0, then incremental authorization is not allowed. Variable will be absent if Charging Station or payment terminal do not support incremental authorization.
PaymentCtrlr;IncrementalAuthorizationThreshold;;no;decimal;;If costs exceed current authorization amount minus IncrementalAuthorizationThreshold then the authorization needs to be increased.
PaymentCtrlr;PaymentDetails;;yes;MemberList;;The _valuesList_ of PaymentDetails contains the information that the payment terminal is able to provide. The Actual value of PaymentDetails determines which of these details shall be provided in the idToken.additionInfo field.
PaymentCtrlr;SettlementByCSMS;;yes;boolean;;When true, CSMS will take care of settlement
PaymentCtrlr;ReceiptServerUrl;;yes;string;;URL to the receipt server, where an EV driver can find the receipt afterwards.
PaymentCtrlr;ReceiptByCSMS;;yes;boolean;;When true, CSMS will provide a URL to receipt, else it is provided by payment terminal.
PaymentCtrlr;Merchant;Id;yes;string;;Merchant ID to be added to a PSP/locally generated receipt.
PaymentCtrlr;Merchant;TaxId;yes;string;;Tax ID of the merchant to be added to a PSP/locally generated receipt.
PaymentCtrlr;Merchant;Name;yes;string;;Name of the merchant to be added to a PSP/locally generated receipt.
PaymentCtrlr;Merchant;Address;yes;string;;Address of the merchant to be added to a PSP/locally generated receipt.
PaymentCtrlr;Merchant;City;yes;string;;City of the merchant to be added to a PSP/locally generated receipt.
PaymentCtrlr;TerminalID;;yes;string;;Terminal ID of the payment terminal.
PaymentCtrlr;PaymentServiceProvider;;yes;string;;The payment service provider that the terminal is using. Typically read-only.
PaymentCtrlr;VendorName;;yes;string;;Manufacturer of the payment terminal.
PaymentCtrlr;Model;;yes;string;;Model of the payment terminal.
PaymentCtrlr;SerialNumber;;yes;string;;Payment terminal serial number.
PaymentCtrlr;FirmwareVersion;;yes;string;;Payment terminal firmware version.
PaymentCtrlr;IMSI;;yes;string;;IMSI of the payment terminals SIM card.
PaymentCtrlr;ICCID;;yes;string;;ICCID of the payment terminals SIM card.
PaymentCtrlr;Connected;;yes;boolean;;Boolean to indicate whether the payment terminal is connected to its payment service provider.
WebPaymentsCtrlr;URLTemplate;;yes;string;;URL template
WebPaymentsCtrlr;URLParameters;;no;MemberList;;"List of supported URL parameters, valuesList: ""maxtime"", ""maxenergy"", ""maxcost"".  When absent, none of these are supported."
WebPaymentsCtrlr;TOTPVersion;;yes;string;;"Version of TOTP algorithm.  valuesList: list of supported TOTP versions, e.g. ""v1"""
WebPaymentsCtrlr;ChargingStationId;;no;string;;Charging station Id to use in URL.  When absent will default to Charging Station identity, as defined in SecurityCtrlr.Identity.
WebPaymentsCtrlr;ValidityTime;;yes;integer;s;Time in seconds to show QR, e.g. 30
WebPaymentsCtrlr;SharedSecret;;yes;string;;<random text> set to a random value on first boot
WebPaymentsCtrlr;Length;;yes;integer;;Length of TOTP, e.g. 8
WebPaymentsCtrlr;QRCodeQuality;;no;OptionList;;Low, Medium, Quartile, High
